"Week","Status","Total Volume","California","Chile","Mexico","Peru","Colombia"
"Jan 7, 2018","Actual","20,715,617","407,937","235,610","20,072,069","0","0"
"Jan 14, 2018","Actual","23,931,017","376,853","203,664","23,350,499","0","0"
"Jan 21, 2018","Actual","24,810,696","1,321,614","201,906","23,287,175","0","0"
"Jan 28, 2018","Actual","20,547,355","1,223,952","43,313","19,280,088","0","0"
"Feb 4, 2018","Actual","21,487,325","1,195,428","0","20,291,896","0","0"
"Feb 11, 2018","Actual","17,829,523","1,378,848","0","16,450,674","0","0"
"Feb 18, 2018","Actual","23,225,882","1,934,319","0","21,291,561","0","0"
"Feb 25, 2018","Actual","24,048,878","2,282,332","0","21,766,545","0","0"
"Mar 4, 2018","Actual","22,964,898","2,206,126","0","20,758,771","0","0"
"Mar 11, 2018","Actual","23,612,792","3,091,703","0","20,521,089","0","0"
"Mar 18, 2018","Actual","23,551,798","1,879,407","0","21,672,390","0","0"
"Mar 25, 2018","Actual","20,777,746","2,266,877","0","18,510,868","0","0"
"Apr 1, 2018","Actual","17,762,029","3,739,690","0","14,022,338","0","0"
"Apr 8, 2018","Actual","26,191,706","4,979,655","0","21,212,050","0","0"
"Apr 15, 2018","Actual","29,491,287","5,928,281","0","23,563,005","0","0"
"Apr 22, 2018","Actual","30,340,540","6,608,201","0","23,732,338","0","0"
"Apr 29, 2018","Actual","26,253,774","7,472,100","0","18,781,673","0","0"
"May 6, 2018","Actual","19,710,403","6,067,925","0","13,491,951","150,526","0"
"May 13, 2018","Actual","22,513,699","5,902,700","0","16,546,486","64,511","0"
"May 20, 2018","Actual","24,858,948","6,156,891","0","18,573,033","129,022","0"
"May 27, 2018","Actual","26,406,505","6,483,641","0","19,017,358","905,503","0"
"Jun 3, 2018","Actual","24,598,355","4,459,870","0","18,065,017","2,073,467","0"
"Jun 10, 2018","Actual","24,592,101","5,795,480","0","16,265,496","2,531,124","0"
"Jun 17, 2018","Actual","22,973,027","5,534,971","0","14,322,561","3,115,494","0"
"Jun 24, 2018","Actual","22,283,272","4,997,507","0","13,746,932","3,538,830","0"
"Jul 1, 2018","Actual","27,155,873","5,912,211","0","17,136,443","4,107,218","0"
"Jul 8, 2018","Actual","24,858,048","5,237,355","0","15,448,962","4,171,729","0"
"Jul 15, 2018","Actual","23,923,109","5,933,793","0","12,527,360","5,461,955","0"
"Jul 22, 2018","Actual","19,723,474","4,062,579","0","10,177,435","5,483,459","0"
"Jul 29, 2018","Actual","22,427,043","3,158,391","0","11,612,288","7,656,363","0"
"Aug 5, 2018","Actual","24,016,950","3,017,370","0","13,172,210","7,827,369","0"
"Aug 12, 2018","Actual","25,685,373","3,281,663","0","15,522,505","6,881,203","0"
"Aug 19, 2018","Actual","25,606,206","3,912,274","150,260","15,436,603","6,107,067","0"
"Aug 26, 2018","Actual","21,777,664","4,003,481","319,874","11,583,780","5,870,526","0"
"Sep 2, 2018","Actual","17,470,776","2,701,486","831,627","8,131,646","5,806,015","0"
"Sep 9, 2018","Actual","19,999,487","1,432,044","682,754","13,648,447","4,236,240","0"
"Sep 16, 2018","Actual","23,314,026","1,715,818","2,857,420","15,945,297","2,795,488","0"
"Sep 23, 2018","Actual","22,372,158","1,379,972","2,583,640","16,643,085","1,765,458","0"
"Sep 30, 2018","Actual","17,786,917","890,136","2,411,259","13,388,828","1,096,692","0"
"Oct 7, 2018","Actual","20,240,595","662,039","1,878,377","17,334,613","365,563","0"
"Oct 14, 2018","Actual","19,781,098","362,298","1,470,381","17,883,906","64,511","0"
"Oct 21, 2018","Actual","18,816,941","356,932","908,121","17,551,887","0","0"
"Oct 28, 2018","Actual","19,697,128","150,955","1,125,002","18,421,170","0","0"
"Nov 4, 2018","Actual","7,148,757","0","1,035,736","6,113,020","0","0"
"Nov 11, 2018","Actual","3,254,711","0","1,053,495","2,201,215","0","0"
"Nov 18, 2018","Actual","20,380,647","0","1,593,536","18,787,110","0","0"
"Nov 25, 2018","Actual","31,798,839","0","832,179","30,966,659","0","0"
"Dec 2, 2018","Actual","25,039,346","0","1,078,537","23,960,808","0","0"
"Dec 9, 2018","Actual","24,951,973","0","1,607,838","23,344,134","0","0"
"Dec 16, 2018","Actual","22,700,363","861","1,459,977","21,239,524","0","0"
"Dec 23, 2018","Actual","21,522,186","430","955,103","20,566,651","0","0"
"Dec 30, 2018","Actual","15,304,464","816","841,870","14,461,777","0","0"
