Geography,Segment,Variety,Timeframe,Period,"Current Year Week Ending","Units Prior Year","Units Current Year","Unit Variance","Dollars Prior Year","Dollars Current Year","Dollar Variance","ASP Prior Year","ASP Current Year","ASP Variance"
California,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",24643875.85,29370491.67,0.190000000,29413687.49,31421462.15,0.070000000,1.193549573,1.069830989,-0.100000000
"Great Lakes",Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",17398324.82,19014870.07,0.090000000,20399196.67,19467894.65,-0.050000000,1.172480505,1.023824753,-0.130000000
Midsouth,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",15387766.69,17984940.39,0.170000000,18584830.24,19227934.33,0.040000000,1.207766573,1.069113042,-0.120000000
Northeast,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",21181739.70,24394834.55,0.150000000,28201009.92,30086378.99,0.070000000,1.331383084,1.233309409,-0.070000000
Plains,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",9069072.68,9924781.46,0.090000000,10427112.67,10515116.45,0.010000000,1.149744085,1.059480906,-0.080000000
"South Central",Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",27314501.22,32602631.47,0.190000000,24790104.30,25576245.23,0.030000000,0.907580340,0.784484076,-0.140000000
Southeast,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",18219738.71,24333979.01,0.340000000,22138972.67,24283644.32,0.100000000,1.215109230,0.997931506,-0.180000000
"Total U.S.",Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",161832078.70,190208128.30,0.180000000,184317383.70,193790991.30,0.050000000,1.138942200,1.018836540,-0.110000000
West,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",28617058.77,32581599.78,0.140000000,30362469.60,33212314.95,0.090000000,1.060991971,1.019358017,-0.040000000
Albany,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",441313.06,540678.15,0.230000000,560090.98,619386.35,0.110000000,1.269146623,1.145573110,-0.100000000
Atlanta,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",2657566.19,3428614.16,0.290000000,2858548.70,3206436.78,0.120000000,1.075626530,0.935199072,-0.130000000
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",4030339.16,4115736.28,0.020000000,5218072.49,5237048.52,0.000000000,1.294698109,1.272445114,-0.020000000
Boise,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",400567.51,466896.93,0.170000000,484036.99,551569.68,0.140000000,1.208378058,1.181352124,-0.020000000
Boston,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",3132006.25,3176630.66,0.010000000,3931595.96,4257055.35,0.080000000,1.255296333,1.340116559,0.070000000
