"Week","Year","Status","Total Volume","California","Chile","Mexico","Peru","Colombia"
"Jan 10, 2021","2021","Actual","29,700,864","0","0","29,655,504","0","45,359"
"Jan 17, 2021","2021","Actual","35,559,789","0","0","35,491,750","0","68,038"
"Jan 24, 2021","2021","Actual","33,510,617","179,683","0","33,308,253","0","22,679"
"Jan 31, 2021","2021","Actual","27,577,208","106,086","0","27,471,122","0","0"
"Feb 7, 2021","2021","Actual","19,581,434","101,282","0","19,480,151","0","0"
"Feb 14, 2021","2021","Actual","24,677,365","236,985","0","24,440,378","0","0"
"Feb 21, 2021","2021","Actual","26,652,888","669,481","0","25,965,263","0","18,143"
"Feb 28, 2021","2021","Actual","28,001,304","1,557,587","0","26,425,573","0","18,143"
"Mar 7, 2021","2021","Actual","26,205,180","1,661,053","0","24,525,982","0","18,143"
"Mar 14, 2021","2021","Actual","27,672,460","1,224,875","0","26,429,440","0","18,143"
"Mar 21, 2021","2021","Actual","26,953,337","2,191,075","0","24,762,261","0","0"
"Mar 28, 2021","2021","Projection","27,909,752","1,942,235","0","25,967,516","0","0"
"Apr 4, 2021","2021","Projection","16,642,391","2,513,580","0","14,128,811","0","0"
"Apr 11, 2021","2021","Projection","30,967,311","3,413,279","0","27,554,031","0","0"
"Apr 18, 2021","2021","Projection","31,111,173","4,323,412","0","26,787,760","0","0"
"Apr 25, 2021","2021","Projection","28,409,359","4,255,010","0","24,154,348","0","0"
"May 2, 2021","2021","Projection","24,903,432","5,775,360","0","19,128,071","0","0"
"May 9, 2021","2021","Projection","26,693,632","6,311,279","0","20,382,352","0","0"
"May 16, 2021","2021","Projection","28,114,677","5,924,727","0","22,189,949","0","0"
"May 23, 2021","2021","Projection","25,017,519","6,083,711","0","18,933,807","0","0"
"May 30, 2021","2021","Projection","22,854,808","6,013,133","0","16,841,674","0","0"
"Jun 6, 2021","2021","Projection","23,012,648","7,063,878","0","15,948,769","0","0"
"Jun 13, 2021","2021","Projection","22,581,420","5,769,372","0","16,812,047","0","0"
"Jun 20, 2021","2021","Projection","22,149,269","6,014,992","0","16,134,275","0","0"
"Jun 27, 2021","2021","Projection","6,493,351","6,493,350","0","0","0","0"
